,Bias Line,LO,Bias Point
0,8.0,4750,10.058200012
1,11.0,4250,10.062799988
2,10.0,4250,10.0955
3,7.0,4750,3.002600006
4,12.0,6750,3.0944000240000005
5,9.0,5250,10.058899964
6,7.0,4750,3.965299988
7,8.0,5750,10.057599975999999
8,8.0,6250,10.056099975999999
9,11.0,4250,10.056100036000002
10,12.0,6750,10.107799988
11,11.0,5750,10.054500119999998
12,9.0,4750,10.058100036000003
13,12.0,5250,2.447999985
14,9.0,4750,10.058900023999998
15,8.0,5750,10.056300047999999
16,8.0,4750,10.057900023999998
17,12.0,5250,8.33299994
18,8.0,6250,10.057500000000001
19,10.0,4250,10.09449994
20,9.0,4250,6.338499999999999
21,11.0,4750,10.07299994
22,7.0,5250,10.075000000000001
23,11.0,5750,10.054900023999998
24,9.0,5250,10.059800108000003
25,9.0,4250,10.059
26,11.0,4750,10.054200072
27,7.0,5250,10.076599976
